Country Name;Continent;Médicos (por cada 1.000 personas);Personas desempleadas educación avanzada;Empleadores total;Desempleo hombres;Índice facilidad para hacer negocios;Crecimiento población urbana;Trabajadores asalariados (empleados), total;Crecimiento PIB per cápita;Personas desempleadas educación intermedia;Empleos agricultura;Empleo vulnerable total;Desempleo total;Desempleo mujeres;Nuevas empresas registradas;Empleados agricultura mujeres;Personas desempleadas educación básica;Empleados agricultura hombres
Curacao;North America;0.0;11.68;0.0;0.0;0.0;1.217;0.0;-859;14.34;0.0;0.0;11.71;0.0;0.0;0.0;20.88;0.0
Dinamarca;Europe;3.934;4.617;2.847;6.057;4.0;839;91.133;1.386;5.38;2.492;6.02;6.278;6.529;30378.0;1.0;10.42;3.8
Dominica;North America;1.136;0.0;0.0;0.0;111.0;485;0.0;-2.783;0.0;0.0;0.0;0.0;0.0;134.0;0.0;0.0;0.0
Ecuador;South America;1.814;4.806;3.246;3.018;129.0;1.647;55.084;-1.303;5.867;26.192;41.669;3.616;4.516;0.0;22.609;2.455;28.535
El Salvador;North America;1.566;4.411;4.422;4.371;91.0;1.528;59.578;2.057;5.813;18.111;36.001;3.998;3.47;2158.0;3.859;3.887;28.289
Eslovenia;Europe;2.802;5.767;3.697;8.048;37.0;493;83.083;2.316;9.905;6.949;13.22;8.962;10.033;5478.0;7.056;13.672;6.86
España;Europe;3.847;13.374;5.283;20.782;31.0;219;82.597;4.142;21.471;4.124;12.121;22.057;23.557;91750.0;2.1;30.685;5.784
Estados Unidos;North America;2.57;3.032;2.718;5.366;6.0;967;93.556;2.19;7.087;1.781;3.727;5.28;5.175;0.0;957;7.76;2.459
Estonia;Europe;3.417;3.969;3.672;6.496;18.0;281;90.458;1.771;6.927;4.032;5.87;6.412;6.324;15005.0;2.559;12.286;5.434
Federación de Rusia;Europe;3.942;5.387;1.292;5.862;29.0;414;92.74;-2.276;5.129;6.71;5.968;5.615;5.352;456046.0;5.112;13.911;8.218
Finlandia;Europe;3.413;6.395;3.736;9.874;20.0;388;85.72;136;10.156;4.224;10.545;9.376;8.842;12625.0;2.196;16.447;6.135
Francia;Europe;3.239;6.3;4.273;10.792;33.0;684;88.41;708;10.799;2.745;7.317;10.354;9.877;171984.0;1.654;17.489;3.757
Granada;North America;1.29;11.234;0.0;0.0;146.0;639;0.0;5.94;13.718;0.0;0.0;22.9;0.0;228.0;0.0;15.086;0.0
Grecia;Europe;5.91;19.734;6.879;21.715;79.0;-217;65.044;431;27.639;12.501;28.078;24.981;28.992;4746.0;11.73;26.59;13.07
Guatemala;North America;286;1.252;2.747;2.005;96.0;2.509;60.322;2.202;6.382;31.876;36.932;2.506;3.556;4936.0;9.67;2.905;42.306
Guyana;South America;1.804;4.946;5.866;11.426;134.0;704;64.288;83;16.171;18.935;29.846;13.627;15.482;227.0;8.997;13.82;24.975
Haití;North America;86;0.0;727;11.048;179.0;3.329;24.971;-45;0.0;46.923;74.301;0.0;16.677;0.0;34.959;0.0;57.079
Honduras;North America;586;8.947;9.666;4.527;133.0;3.091;48.579;1.882;12.403;28.722;41.755;6.147;8.989;2478.0;7.395;5.53;40.313
Hungría;Europe;3.097;2.417;3.463;6.617;52.0;0.15;88.992;3.954;6.401;4.9;7.546;6.813;7.034;21256.0;2.69;17.306;6.852
Irlanda;Europe;3.143;5.637;4.031;10.734;24.0;1.262;83.535;23.444;12.401;5.321;12.434;9.908;8.908;19207.0;1.605;16.807;8.451
Islandia;Europe;3.772;2.733;1.557;3.914;26.0;1.077;86.202;3.354;3.354;4.239;12.241;3.979;4.051;2385.0;1.734;6.147;6.498
Italia;Europe;3.87;7.098;6.904;11.316;58.0;326;75.834;983;11.388;3.751;17.262;11.896;12.695;99983.0;2.438;15.437;4.691
Jamaica;North America;429;6.461;3.1;6.64;71.0;769;59.932;605;11.992;17.745;36.967;13.511;11.452;1806.0;8.079;5.122;25.368
Kosovo;Europe;0.0;18.849;0.0;0.0;57.0;0.0;0.0;7.368;33.667;0.0;0.0;32.84;0.0;2539.0;0.0;46.53;0.0
Letonia;Europe;3.175;4.945;4.585;11.088;19.0;-777;86.06;4.636;10.838;7.939;9.355;9.873;8.636;12619.0;5.042;21.931;10.865
Liechtenstein;Europe;0.0;0.0;0.0;0.0;0.0;598;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0
Lituania;Europe;4.253;3.676;1.209;10.097;11.0;-759;87.729;3.805;11.67;9.069;11.062;9.12;8.161;6184.0;6.631;26.062;11.605
Luxemburgo;Europe;2.908;4.754;3.987;6.464;72.0;2.688;88.787;-115;6.286;1.045;7.226;6.796;7.195;6642.0;747;10.491;1.291
Macedonia del Norte;Europe;2.834;21.161;4.317;27.105;17.0;-51;73.936;4.134;26.915;17.82;21.746;26.395;25.345;5784.0;17.492;30.36;18.046
Malta;Europe;3.583;1.976;4.409;5.389;88.0;2.457;84.61;7.036;3.814;1.467;10.98;5.389;5.39;5372.0;373;8.825;2.158
Montenegro;Europe;2.35;10.288;3.692;17.765;50.0;567;79.118;3.332;19.257;7.72;17.19;17.555;17.312;3013.0;8.169;27.195;7.331
México;North America;2.358;4.929;4.35;4.223;60.0;1.439;68.033;1.61;5.346;13.953;27.617;4.311;4.456;46174.0;4.319;4.207;19.776
Mónaco;Europe;8.568;6.17;0.0;0.0;0.0;1.726;0.0;3.115;6.46;0.0;0.0;6.33;0.0;0.0;0.0;8.13;0.0
Nicaragua;North America;0.92;0.0;5.483;4.236;142.0;1.695;54.498;3.378;0.0;31.203;40.019;4.7;5.446;0.0;9.663;0.0;44.423
Noruega;Europe;4.451;2.58;845;4.563;9.0;1.488;92.874;849;3.843;2.01;6.281;4.296;4.001;26709.0;928;9.175;2.995
Panamá;North America;1.581;2.374;3.069;3.691;86.0;2.219;66.271;3.461;6.07;14.673;30.66;4.402;5.324;26608.0;7.871;4.486;19.034
Paraguay;South America;1.462;2.444;4.983;4.293;125.0;1.916;56.231;1.465;6.127;22.106;38.785;4.556;4.944;653.0;16.61;5.2;25.802
Países Bajos;Europe;3.471;3.92;3.168;6.524;42.0;0.98;83.838;1.669;7.207;2.32;12.994;6.872;7.273;31509.0;1.517;10.731;3.012
Perú;South America;1.296;4.185;3.986;3.211;76.0;1.367;48.047;2.094;4.284;26.979;47.966;3.272;3.346;79606.0;25.153;2.457;28.468
Polonia;Europe;2.294;3.933;3.645;7.336;40.0;-274;78.768;4.501;7.394;11.534;17.587;7.475;7.645;40805.0;10.36;10.412;12.49
Portugal;Europe;4.75;9.242;5.638;12.161;39.0;0.5;81.598;2.011;13.941;7.511;12.764;12.447;12.748;34120.0;5.378;13.22;9.527
Reino Unido;Europe;2.773;2.906;2.439;5.669;8.0;1.109;85.017;1.416;5.709;1.136;12.544;5.552;5.344;611478.0;649;8.399;1.568
República Checa;Europe;3.952;2.381;3.524;4.233;41.0;323;82.661;4.753;4.702;2.925;13.815;5.048;6.08;26068.0;1.635;22.692;3.925
República Dominicana;North America;1.429;6.12;3.221;5.475;115.0;2.297;55.602;5.705;11.513;9.715;41.177;7.605;10.894;8367.0;1.476;7.159;14.745
República Eslovaca;Europe;3.451;6.041;3.118;10.337;45.0;-111;84.843;5.077;10.961;3.098;12.039;11.492;12.902;12445.0;1.248;38.676;4.571
República de Moldova;Europe;3.085;3.549;347;2.236;48.0;-781;39.142;429;1.571;59.561;60.51;1.781;1.318;4762.0;59.231;1.154;59.948
Rumania;Europe;2.753;4.112;1.125;7.543;55.0;-494;71.025;3.643;7.223;25.586;27.85;6.812;5.857;64417.0;25.613;7.915;25.564
Saint Kitts y Nevis;North America;2.866;0.0;0.0;0.0;139.0;-186;0.0;698;0.0;0.0;0.0;0.0;0.0;210.0;0.0;0.0;0.0
San Marino;Europe;0.0;8.21;0.0;0.0;92.0;925;0.0;1.539;8.33;0.0;0.0;7.38;0.0;0.0;0.0;4.46;0.0
San Vicente y las Granadinas;North America;0.0;0.0;5.718;20.604;130.0;263;73.989;3.336;0.0;11.205;20.293;0.0;16.949;119.0;4.527;0.0;15.87
Santa Lucía;North America;655;14.56;6.031;19.202;93.0;0.62;71.96;-338;21.859;10.939;22.009;19.136;22.78;367.0;5.173;27.797;15.686
Serbia;Europe;2.904;15.322;3.774;16.789;44.0;-309;69.841;1.815;19.419;19.409;26.385;17.66;18.739;7904.0;16.391;15.113;21.788
Suecia;Europe;4.153;4.264;3.305;7.561;10.0;1.412;89.741;3.312;6.223;2.036;6.955;7.432;7.291;45568.0;1.023;18.863;2.961
Suiza;Europe;4.197;3.68;4.706;4.704;36.0;1.168;85.025;494;4.37;3.387;10.269;4.801;4.912;24244.0;2.785;8.697;3.91
Suriname;South America;1.017;3.606;3.578;4.396;162.0;1.031;77.499;-4.452;5.377;7.246;18.922;7.22;11.493;412.0;5.213;9.141;8.489
Trinidad y Tobago;North America;2.487;1.806;5.471;2.057;105.0;145;77.769;-1.095;2.492;3.426;16.76;2.428;2.939;5165.0;1.382;2.813;4.896
Ucrania;Europe;0.0;8.24;1.312;10.124;64.0;-274;80.978;-9.277;10.05;15.257;17.71;9.14;8.099;38088.0;13.214;12.23;17.231
Uruguay;South America;3.968;2.206;4.175;6.36;101.0;453;72.676;23;5.42;8.824;23.149;7.488;8.849;3326.0;4.473;8.89;12.333
Venezuela;South America;1.664;5.744;3.509;5.85;188.0;1.063;65.045;0.0;5.595;6.334;31.446;5.319;6.569;0.0;1.262;4.673;9.67
