Country Name,Region,Continent,Desempleo hombres,Pago de impuestos (numero),Desempleo mujeres,"Desempleo, total",Empleos agricultura,Indice facilidad para hacer negocios,Crecimiento PIB per capita,Contaminación aire,"Agricultura, silvicultura y pesca, valor agregado",Exportaciones bienes y servicios (% del PIB),Nuevas empresas registradas (numero),"Empleadores, total","Inflación, deflactor del PIB (%) anual",Personas desempleadas educación basica,Tierras cultivables,"Trabajadores asalariados (empleados), total",Medicos (cada 1.000 personas),Inversión extranjera directa,Crecimiento población urbana,"Empleo vulnerable, total",Personas desempleadas educación avanzada,PIB per capita US a precios actuales,Comercio servicios,Empleados agricultura - hombres,Exportaciones de bienes y servicios(% anual),Personas desempleadas educación intermedia,Empleados agricultura - mujeres,Score,Perceptions of corruption,Health,Freedom,"Agricultura, silvicultura y pesca",Industria (incluye Manufactura),Construcción,"Comercio al por mayor y al por menor, transporte, alojamiento y servicios de comida",Información y comunicación,Actividades financieras y de seguros,Actividades inmobiliarias,"Actividades profesionales, científicas y técnicas; actividades administrativas y de apoyo","Administración pública, defensa, educación, actividades de salud humana y de trabajo social","Artes, entretenimiento y recreación; otras actividades de servicios; actividades de organizaciones y cuerpos extraterritoriales"
Bulgaria,Eastern Europe,Europe,9.777,14.0,8.417,9.143,6.856,61.0,4.059,99.966,4.062,63.786,42634.0,4.359,2.948,23.714,32.33,87.711,3.968,4.372,-0.179,7.93,3.922,7078.86,25.207,9.092,6.479,8.384,4.331,4.218,0.009,0.766,0.306,0.162,0.197,0.057,0.249,0.036,0.02,0.007,0.073,0.168,0.034
Bélgica,Western Europe,Europe,9.093,11.0,7.768,8.482,1.177,46.0,0.888,95.104,0.751,77.878,22148.0,3.552,1.122,15.995,27.346,84.821,3.025,-4.233,0.623,11.627,4.592,40893.805,46.259,1.565,3.67,8.699,0.729,6.937,0.225,0.897,0.585,0.012,0.112,0.06,0.204,0.028,0.022,0.006,0.206,0.307,0.044
Canadá,Northern America,North America,7.51,8.0,6.305,6.945,1.644,23.0,-0.112,0.726,1.87,31.85,3052.0,4.525,-0.868,14.13,4.27,85.001,2.539,3.854,0.811,10.474,5.321,43594.194,12.206,2.19,3.399,8.246,1.034,7.427,0.33,0.906,0.633,0.02,0.2,0.1,0.06,0.2,0.03,0.07,0.04,0.15,0.03
Chile,South America,South America,5.828,7.0,7.014,6.313,8.21,59.0,1.114,98.576,3.709,29.191,64781.0,4.137,4.954,6.244,2.008,75.317,2.159,7.328,1.087,20.546,4.839,13433.92,9.357,10.869,-2.332,7.12,4.319,6.67,0.129,0.859,0.441,0.04,0.3,0.12,0.05,0.2,0.04,0.06,0.04,0.15,0.02
Colombia,South America,South America,6.719,11.0,11.119,8.572,16.32,67.0,2.069,96.338,5.98,15.65,60456.0,4.125,2.449,6.62,1.406,48.603,2.015,3.959,1.303,47.272,10.61,6248.515,7.63,22.994,1.658,10.1,6.694,6.477,0.051,0.691,0.535,0.068,0.308,0.115,0.065,0.125,0.025,0.073,0.05,0.15,0.021
Costa Rica,Central America,North America,7.1,10.0,10.338,8.415,14.387,74.0,2.557,99.98,4.749,29.996,13154.0,2.896,3.955,8.969,4.529,70.571,1.778,5.236,2.268,26.533,5.848,11714.711,19.097,19.012,2.888,10.672,7.377,7.226,0.106,0.86,0.634,0.055,0.21,0.12,0.05,0.25,0.03,0.07,0.04,0.15,0.025
Croacia,Southern Europe,Europe,15.547,12.0,16.899,16.175,9.228,51.0,3.552,100.0,2.963,45.425,12558.0,5.358,0.124,21.353,15.076,82.787,3.156,0.958,-0.78,11.855,9.24,12285.303,30.043,10.766,10.241,18.042,7.428,5.759,0.024,0.788,0.259,0.065,0.203,0.082,0.259,0.03,0.024,0.004,0.065,0.209,0.036
Cuba,Caribbean,North America,2.281,0.0,2.579,2.4,18.667,0.0,4.538,100.0,3.836,17.147,38861.626782054984,4.743,3.439,13.372882352941176,28.95,75.576,7.759,0.0,-0.049,19.68,6.232205882352941,7727.92,0.0,25.629,-0.1,10.07389705882353,8.176,0.0,0.002,0.388,0.077,0.04,0.2,0.1,0.06,0.2,0.03,0.08,0.04,0.25,0.0
Dinamarca,Northern Europe,Europe,6.057,10.0,6.529,6.278,2.492,4.0,1.386,75.187,0.908,55.814,30378.0,2.847,0.409,10.42,58.791,91.133,3.934,0.611,0.839,6.02,4.617,53094.013,41.14,3.8,3.232,5.38,1.0,7.527,0.484,0.875,0.649,0.022,0.105,0.067,0.257,0.039,0.024,0.016,0.113,0.302,0.054
Ecuador,South America,South America,3.018,8.0,4.516,3.616,26.192,129.0,-1.303,99.389,8.02,22.754,38861.626782054984,3.246,-5.476,2.455,4.3,55.084,1.814,1.361,1.647,41.669,4.806,5976.16,5.761,28.535,-4.805,5.867,22.609,5.975,0.181,0.791,0.486,0.07,0.25,0.1,0.05,0.2,0.02,0.06,0.04,0.15,0.03
El Salvador,Central America,North America,4.371,41.0,3.47,3.998,18.111,91.0,2.057,100.0,5.53,29.486,2158.0,4.422,1.308,3.887,33.634,59.578,1.566,2.11,1.528,36.001,4.411,3790.341,17.044,28.289,3.28,5.813,3.859,6.13,0.118,0.677,0.404,0.1,0.25,0.15,0.04,0.2,0.02,0.06,0.03,0.15,0.02
Eslovenia,Southern Europe,Europe,8.048,10.0,10.033,8.962,6.949,37.0,2.316,99.794,1.974,77.664,5478.0,3.697,0.867,13.672,9.147,83.083,2.802,4.051,0.493,13.22,5.767,20697.275,26.639,6.86,5.43,9.905,7.056,5.848,0.038,0.873,0.609,0.064,0.228,0.078,0.212,0.034,0.018,0.007,0.128,0.192,0.039
España,Southern Europe,Europe,20.782,9.0,23.557,22.057,4.124,31.0,4.142,55.153,2.723,33.299,91750.0,5.283,0.552,30.685,24.573,82.597,3.847,1.971,0.219,12.121,13.374,25969.838,15.157,5.784,4.351,21.471,2.1,6.329,0.064,0.956,0.46,0.036,0.111,0.066,0.283,0.03,0.016,0.012,0.127,0.234,0.085
Estados Unidos,Northern America,North America,5.366,10.6,5.175,5.28,1.781,6.0,2.19,8.465,1.029,12.411,38861.626782054984,2.718,0.928,7.76,17.104,93.556,2.57,2.795,0.967,3.727,3.032,57040.208,6.929,2.459,0.32,7.087,0.957,7.119,0.159,0.862,0.546,0.012,0.222,0.12,0.05,0.25,0.04,0.08,0.05,0.15,0.026
Estonia,Northern Europe,Europe,6.496,8.0,6.324,6.412,4.032,18.0,1.771,0.0,2.806,76.034,15005.0,3.672,1.306,12.286,15.528,90.458,3.417,-3.069,0.281,5.87,3.969,17722.156,42.253,5.434,-1.506,6.927,2.559,5.429,0.152,0.774,0.449,0.026,0.201,0.078,0.236,0.055,0.025,0.016,0.074,0.235,0.054
Federación de Rusia,Eastern Europe,Europe,5.862,9.0,5.352,5.615,6.71,29.0,-2.276,91.827,3.873,28.703,401994.3704167871,1.292,7.25,13.911,7.428,92.74,3.942,0.503,0.414,5.968,5.387,9277.714,10.296,8.218,3.673,5.129,5.112,5.716,0.03,0.669,0.367,0.04,0.32,0.2,0.06,0.2,0.03,0.07,0.04,0.15,0.09
Finlandia,Northern Europe,Europe,9.874,8.0,8.842,9.376,4.224,20.0,0.136,0.0,2.06,35.782,12625.0,3.736,1.633,16.447,7.378,85.72,3.413,7.538,0.388,10.545,6.395,42560.346,22.422,6.135,0.244,10.156,2.196,7.406,0.414,0.889,0.642,0.032,0.136,0.077,0.186,0.043,0.016,0.01,0.132,0.29,0.05
Francia,Western Europe,Europe,10.792,9.0,9.877,10.354,2.745,33.0,0.708,90.412,1.504,31.693,171984.0,4.273,1.134,17.489,33.748,88.41,3.239,1.766,0.684,7.317,6.3,36702.432,20.047,3.757,4.525,10.799,1.654,6.575,0.206,0.946,0.55,0.025,0.101,0.065,0.232,0.034,0.028,0.014,0.162,0.286,0.054
Grecia,Southern Europe,Europe,21.715,8.0,28.992,24.981,12.501,79.0,0.431,100.0,3.822,32.186,4746.0,6.879,-0.175,26.59,16.843,65.044,5.91,0.652,-0.217,28.078,19.734,17980.73,26.639,13.07,5.234,27.639,11.73,4.857,0.014,0.882,0.077,0.104,0.091,0.041,0.343,0.023,0.016,0.005,0.087,0.217,0.049
Guatemala,Central America,North America,2.005,8.0,3.556,2.506,31.876,96.0,2.202,100.0,9.967,19.83,4936.0,2.747,2.232,2.905,13.718,60.322,0.286,1.935,2.509,36.932,1.252,3893.505,10.299,42.306,2.838,6.382,9.67,6.123,0.095,0.644,0.577,0.135,0.2,0.1,0.05,0.22,0.02,0.05,0.03,0.15,0.045
Guyana,South America,South America,11.426,35.0,15.482,13.627,18.935,134.0,0.083,100.0,22.12554443679093,45.96752729997707,227.0,5.866,3.004,13.82,2.134,64.288,1.804,3.217,0.704,29.846,4.946,5640.416,13.275,24.975,3.858114536790422,16.171,8.997,0.0,0.002,0.388,0.077,0.18,0.25,0.1,0.05,0.15,0.02,0.04,0.03,0.12,0.06
Haití,Caribbean,North America,11.048,47.0,16.677,0.0,46.923,179.0,-0.045,100.0,17.22,11.768,38861.626782054984,0.727,5.206,13.372882352941176,42.816,24.971,0.086,0.712,3.329,74.301,6.232205882352941,1411.127,11.886,57.079,0.149,10.07389705882353,34.959,4.518,0.172,0.388,0.244,0.17,0.2,0.1,0.04,0.25,0.02,0.05,0.03,0.1,0.04
Honduras,Central America,North America,4.527,59.0,8.989,6.147,28.722,133.0,1.882,99.999,12.216,45.167,2478.0,9.666,6.933,5.53,9.098,48.579,0.586,6.276,3.091,41.755,8.947,2271.203,21.952,40.313,2.9,12.403,7.395,4.788,0.068,0.695,0.401,0.138,0.284,0.26,0.05,0.15,0.018,0.07,0.03,0.1,0.02
Hungría,Eastern Europe,Europe,6.617,11.0,7.034,6.813,4.9,52.0,3.954,100.0,3.79,87.526,21256.0,3.463,2.776,17.306,47.381,88.992,3.097,-4.37,0.15,7.546,2.417,12717.039,31.565,6.852,7.365,6.401,2.69,4.8,0.028,0.759,0.321,0.034,0.203,0.087,0.233,0.038,0.018,0.016,0.118,0.201,0.051
Irlanda,Northern Europe,Europe,10.734,9.0,8.908,9.908,5.321,24.0,14.968455013642956,2.718,0.868,122.925,19207.0,4.031,8.908,16.807,6.576,83.535,3.143,50.45566670407723,1.262,12.434,5.637,64311.823,117.976,8.451,27.371330354586988,12.401,1.605,6.94,0.287,0.895,0.618,0.042,0.122,0.055,0.215,0.059,0.047,0.005,0.1,0.253,0.04
Islandia,Northern Europe,Europe,3.914,21.0,4.051,3.979,4.239,26.0,3.354,11.985,5.291,51.652,2385.0,1.557,6.055,6.147,1.207,86.202,3.772,6.541,1.077,12.241,2.733,52951.682,40.978,6.498,8.948,3.354,1.734,7.561,0.141,0.948,0.629,0.053,0.244,0.12,0.05,0.2,0.03,0.07,0.04,0.15,0.063
Italia,Southern Europe,Europe,11.316,14.0,12.695,11.896,3.751,58.0,0.983,96.755,1.992,29.144,99983.0,6.904,0.783,15.437,22.322,75.834,3.87,0.721,0.326,17.262,7.098,30387.129,10.871,4.691,3.986,11.388,2.438,5.948,0.029,0.954,0.262,0.035,0.165,0.064,0.246,0.025,0.024,0.007,0.127,0.19,0.1
Jamaica,Caribbean,North America,6.64,37.0,11.452,13.511,17.745,71.0,0.605,100.0,6.308,29.922,1806.0,3.1,6.655,5.122,11.08,59.932,0.429,6.519,0.769,36.967,6.461,5062.896,36.786,25.368,4.806,11.992,8.079,5.709,0.023,0.687,0.504,0.06,0.15,0.08,0.05,0.25,0.02,0.1,0.05,0.24,0.0
Kosovo,Southern Europe,Europe,0.0,32.0,0.0,32.84,0.0,57.0,7.368,0.0,7.677,22.451,2539.0,0.0,0.608,46.53,0.0,0.0,0.0,5.454,0.0,0.0,18.849,3520.629,25.497,0.0,1.843,33.667,0.0,5.589,0.047,0.631,0.247,0.1,0.25,0.15,0.05,0.2,0.02,0.06,0.04,0.15,0.08
Letonia,Northern Europe,Europe,11.088,7.0,8.636,9.873,7.939,19.0,4.636,92.273,3.554,62.596,12619.0,4.585,0.387,21.931,19.763,86.06,3.175,3.085,-0.777,9.355,4.945,13321.975,28.556,10.865,3.055,10.838,5.042,5.098,0.063,0.724,0.297,0.073,0.162,0.075,0.252,0.043,0.017,0.022,0.08,0.212,0.038
Lituania,Northern Europe,Europe,10.097,11.0,8.161,9.12,9.069,11.0,3.805,99.531,3.437,68.604,6184.0,1.209,-0.002,26.062,34.667,87.729,4.253,2.496,-0.759,11.062,3.676,14300.255,27.501,11.605,2.423,11.67,6.631,5.833,0.01,0.731,0.213,0.051,0.179,0.072,0.242,0.035,0.021,0.01,0.084,0.216,0.041
Luxemburgo,Western Europe,Europe,6.464,23.0,7.195,6.796,1.045,72.0,-0.115,79.979,0.224,150.95727449850935,6642.0,3.987,2.219,10.491,24.393,88.787,2.908,50.45566670407723,2.688,7.226,4.754,96130.07282501028,174.9209240993904,1.291,5.139,6.286,0.747,6.946,0.378,0.919,0.616,0.007,0.077,0.104,0.215,0.044,0.106,0.011,0.178,0.218,0.04
Macedonia del Norte,Southern Europe,Europe,27.105,7.0,25.345,26.395,17.82,17.0,4.134,100.0,9.727,48.738,5784.0,4.317,2.003,30.36,16.416,73.936,2.834,2.947,-0.051,21.746,21.161,5262.687,26.53,18.046,8.476,26.915,17.492,5.274,0.034,0.838,0.345,0.21,0.189,0.083,0.223,0.025,0.013,0.003,0.06,0.164,0.031
Malta,Southern Europe,Europe,5.389,7.0,5.39,5.389,1.467,88.0,7.036,100.0,0.941,108.733,5372.0,4.409,4.2,8.825,28.031,84.61,3.583,32.103,2.457,10.98,1.976,25481.898,174.9209240993904,2.158,24.04,3.814,0.373,6.302,0.136,0.887,0.604,0.01,0.095,0.063,0.264,0.044,0.051,0.013,0.171,0.221,0.068
Montenegro,Southern Europe,Europe,17.765,29.0,17.312,17.555,7.72,50.0,3.332,100.0,8.061,42.118,3013.0,3.692,2.22,27.195,0.647,79.118,2.35,17.26,0.567,17.19,10.288,6517.193,44.842,7.331,5.743,19.257,8.169,5.192,0.143,0.725,0.183,0.075,0.159,0.1,0.05,0.2,0.02,0.05,0.04,0.15,0.026
México,Central America,North America,4.223,6.0,4.456,4.311,13.953,60.0,1.61,99.715,3.085,34.163,46174.0,4.35,3.225,4.207,11.342,68.033,2.358,2.988,1.439,27.617,4.929,10021.239,6.334,19.776,7.029,5.346,4.319,7.187,0.213,0.814,0.482,0.036,0.28,0.17,0.06,0.23,0.025,0.05,0.035,0.1,0.014
Nicaragua,Central America,North America,4.236,43.0,5.446,4.7,31.203,142.0,3.378,99.93,16.11,40.083,38861.626782054984,5.483,7.589,13.372882352941176,12.49,54.498,0.92,7.58,1.695,40.019,6.232205882352941,2074.454,17.854,44.423,-0.984,10.07389705882353,9.663,5.828,0.193,0.743,0.555,0.155,0.244,0.26,0.04,0.15,0.015,0.06,0.035,0.1,0.021
Noruega,Northern Europe,Europe,4.563,4.0,4.001,4.296,2.01,9.0,0.849,2.025,1.482,38.575,26709.0,0.845,-2.804,9.175,2.21,92.874,4.451,1.874,1.488,6.281,2.58,74809.966,22.907,2.995,3.926,3.843,0.928,7.522,0.365,0.885,0.67,0.023,0.11,0.087,0.209,0.037,0.017,0.011,0.1,0.367,0.039
Panamá,Central America,North America,3.691,52.0,5.324,4.402,14.673,86.0,3.461,87.289,2.95,47.387,26608.0,3.069,3.015,4.486,7.623,66.271,1.581,9.18,2.219,30.66,2.374,14082.655,29.926,19.034,0.352,6.07,7.871,6.786,0.093,0.797,0.542,0.041,0.167,0.057,0.037,0.259,0.03,0.228,0.045,0.103,0.03
Paraguay,South America,South America,4.293,19.0,4.944,4.556,22.106,125.0,1.465,100.0,9.44,34.735,653.0,4.983,1.604,5.2,10.305,56.231,1.462,1.775,1.916,38.785,2.444,5879.338,9.845,25.802,3.204,6.127,16.61,5.878,0.082,0.661,0.539,0.2,0.25,0.1,0.04,0.18,0.02,0.05,0.03,0.1,0.03
Países Bajos,Western Europe,Europe,6.524,9.0,7.273,6.872,2.32,42.0,1.669,99.812,1.806,83.992,31509.0,3.168,0.888,10.731,30.947,83.838,3.471,48.501,0.98,12.994,3.92,45793.814,49.863,3.012,8.371,7.207,1.517,7.378,0.318,0.893,0.616,0.02,0.086,0.053,0.233,0.034,0.021,0.008,0.203,0.265,0.04
Perú,South America,South America,3.211,8.0,3.346,3.272,26.979,76.0,2.094,99.973,7.046,21.287,79606.0,3.986,2.691,2.457,2.973,48.047,1.296,3.866,1.367,47.966,4.185,6231.712,7.403,28.468,4.262,4.284,25.153,5.824,0.06,0.73,0.415,0.07,0.3,0.12,0.05,0.2,0.03,0.06,0.04,0.12,0.03
Polonia,Eastern Europe,Europe,7.336,7.0,7.645,7.475,11.534,40.0,4.501,99.996,2.484,47.162,40805.0,3.645,1.321,10.412,35.556,78.768,2.294,3.295,-0.274,17.587,3.933,12637.522,15.893,12.49,6.609,7.394,10.36,5.791,0.042,0.779,0.531,0.086,0.217,0.074,0.219,0.028,0.023,0.009,0.067,0.201,0.039
Portugal,Southern Europe,Europe,12.161,8.0,12.748,12.447,7.511,39.0,2.011,27.458,1.975,40.688,34120.0,5.638,1.962,13.22,11.68,81.598,4.75,0.638,0.5,12.764,9.242,19215.781,20.932,9.527,6.252,13.941,5.378,5.102,0.011,0.875,0.515,0.074,0.163,0.068,0.25,0.026,0.016,0.009,0.117,0.211,0.05
Reino Unido,Northern Europe,Europe,5.669,8.0,5.344,5.552,1.136,8.0,1.416,71.963,0.631,27.846,401994.3704167871,2.439,0.658,8.399,24.846,85.017,2.773,1.548,1.109,12.544,2.906,44964.391,21.355,1.568,3.771,5.709,0.649,6.867,0.321,0.909,0.596,0.007,0.202,0.1,0.05,0.25,0.04,0.08,0.05,0.15,0.021
República Checa,Eastern Europe,Europe,4.233,8.0,6.08,5.048,2.925,41.0,4.753,99.828,2.259,80.013,26068.0,3.524,1.235,22.692,32.25,82.661,3.952,0.899,0.323,13.815,2.381,17931.599,22.756,3.925,5.912,4.702,1.635,6.505,0.027,0.845,0.464,0.029,0.279,0.077,0.232,0.033,0.015,0.019,0.085,0.195,0.035
República Dominicana,Caribbean,North America,5.475,7.0,10.894,7.605,9.715,115.0,5.705,99.979,5.485,23.762,8367.0,3.221,2.472,7.159,18.154,55.602,1.429,3.13,2.297,41.177,6.12,6819.932,15.058,14.745,3.068,11.513,1.476,4.885,0.142,0.668,0.577,0.05,0.22,0.12,0.07,0.25,0.03,0.07,0.04,0.17,0.0
República Eslovaca,0,Europe,10.337,11.0,12.902,11.492,3.098,45.0,5.077,100.0,2.046,90.694,12445.0,3.118,-0.186,38.676,28.077,84.843,3.451,1.705,-0.111,12.039,6.041,16442.076,18.054,4.571,6.752,10.961,1.248,5.995,0.034,0.789,0.318,0.028,0.23,0.075,0.252,0.032,0.019,0.011,0.104,0.202,0.03
República de Moldova,Eastern Europe,Europe,2.236,21.0,1.318,1.781,59.561,48.0,0.429,100.0,12.821,31.807,4762.0,0.347,11.574,1.154,52.707,39.142,3.085,2.897,-0.781,60.51,3.549,2749.551,23.477,59.948,2.571,1.571,45.79327607607488,5.889,0.016,0.618,0.328,0.076,0.174,0.1,0.05,0.25,0.02,0.06,0.04,0.15,0.08
Rumania,Eastern Europe,Europe,7.543,14.0,5.857,6.812,25.586,55.0,3.643,99.379,4.426,41.349,64417.0,1.125,3.265,7.915,38.152,71.025,2.753,2.427,-0.494,27.85,4.112,8977.017,17.168,25.564,4.583,7.223,25.613,5.124,0.006,0.769,0.351,0.212,0.203,0.088,0.242,0.023,0.012,0.003,0.044,0.137,0.026
San Vicente y las Granadinas,Caribbean,North America,20.604,36.0,16.949,0.0,11.205,130.0,3.336,100.0,6.26,45.96752729997707,119.0,5.718,-0.732,13.372882352941176,5.128,73.989,0.0,15.75,0.263,20.293,6.232205882352941,7353.736,45.699,15.87,3.858114536790422,10.07389705882353,4.527,0.0,0.002,0.388,0.077,0.108,0.244,0.1,0.05,0.2,0.02,0.06,0.04,0.15,0.028
Santa Lucía,Caribbean,North America,19.202,35.0,22.78,19.136,10.939,93.0,-0.338,100.0,2.155,45.96752729997707,367.0,6.031,3.237,27.797,4.377,71.96,0.655,8.422,0.62,22.009,14.56,10334.923,66.834,15.686,3.858114536790422,21.859,5.173,0.0,0.002,0.388,0.077,0.024,0.134,0.1,0.05,0.25,0.03,0.07,0.04,0.15,0.152
Serbia,Southern Europe,Europe,16.789,42.0,18.739,17.66,19.409,44.0,1.815,100.0,5.606,43.385,7904.0,3.774,2.169,15.113,29.625,69.841,2.904,5.674,-0.309,26.385,15.322,5820.322,20.992,21.788,9.042,19.419,16.391,5.123,0.026,0.748,0.201,0.167,0.225,0.049,0.216,0.032,0.015,0.003,0.081,0.157,0.037
Suecia,Northern Europe,Europe,7.561,6.0,7.291,7.432,2.036,10.0,3.312,3.555,1.303,43.709,45568.0,3.305,2.253,18.863,6.322,89.741,4.153,1.949,1.412,6.955,4.264,51197.953,28.162,2.961,5.106,6.223,1.023,7.364,0.438,0.911,0.66,0.019,0.121,0.074,0.189,0.043,0.021,0.017,0.124,0.321,0.045
Suiza,Western Europe,Europe,4.704,19.0,4.912,4.801,3.387,36.0,0.494,72.311,0.626,63.829,24244.0,4.706,-1.265,8.697,10.083,85.025,4.197,17.108,1.168,10.269,3.68,83806.448,35.525,3.91,4.024,4.37,2.785,7.587,0.42,0.941,0.666,0.007,0.25,0.18,0.05,0.2,0.03,0.09,0.04,0.15,0.033
Suriname,South America,South America,4.396,30.0,11.493,7.22,7.246,162.0,-4.452,100.0,10.408,45.96752729997707,412.0,3.578,4.855,9.141,0.405,77.499,1.017,3.583,1.031,18.922,3.606,8813.617,17.282,8.489,3.858114536790422,5.377,5.213,6.269,0.136,0.608,0.597,0.108,0.244,0.1,0.05,0.2,0.02,0.06,0.04,0.15,0.028
Trinidad y Tobago,Caribbean,North America,2.057,39.0,2.939,2.428,3.426,105.0,-1.095,100.0,1.658,45.96752729997707,5165.0,5.471,-8.734,2.813,4.873,77.769,2.487,0.654,0.145,16.76,1.806,20024.755,14.948,4.896,3.858114536790422,2.492,1.382,6.168,0.011,0.615,0.559,0.01,0.4,0.2,0.05,0.2,0.02,0.08,0.04,0.0,0.0
